cdr_record_id,calling_msisdn,called_msisdn,duration_seconds,cell_tower_id,tower_location,timestamp,call_type
CDR-2024-000060,+91-8861834603,+91-9970844159,1763,TOWER-NAG-03,Nagpur Central,2026-05-20 04:01:00,DATA_SESSION
CDR-2024-000061,+91-9925728193,+91-9819789139,1084,TOWER-BEL-02,Belgaum Market,2026-07-17 08:24:00,SMS
CDR-2024-000062,+91-9414805417,+91-7061723507,1344,TOWER-MUM-01,Mumbai Gateway,2026-06-06 08:46:00,VOICE
CDR-2024-000063,+91-9837540914,+91-9494030549,1289,TOWER-BEL-02,Belgaum Market,2026-05-25 02:40:00,SMS
CDR-2024-000064,+91-9747359486,+91-8811871560,947,TOWER-DEL-11,Delhi Connaught Place,2026-08-07 07:21:00,SMS
CDR-2024-000065,+91-9997577896,+91-7093116763,513,TOWER-PUN-04,Pune Shivajinagar,2026-08-16 17:33:00,VOICE
CDR-2024-000066,+91-9728593844,+91-7094976459,415,TOWER-DEL-11,Delhi Connaught Place,2026-05-29 16:42:00,SMS
CDR-2024-000067,+91-9445045841,+91-9822897067,149,TOWER-BEL-02,Belgaum Market,2026-08-31 02:40:00,DATA_SESSION
CDR-2024-000068,+91-9914827155,+91-9963684941,1716,TOWER-BLR-09,Bangalore MG Road,2026-04-25 04:13:00,SMS
CDR-2024-000069,+91-7063424900,+91-8861732949,375,TOWER-NAG-03,Nagpur Central,2026-07-13 16:14:00,DATA_SESSION
CDR-2024-000070,+91-8816589061,+91-9772645152,1093,TOWER-DEL-11,Delhi Connaught Place,2026-03-26 15:14:00,VOICE
CDR-2024-000071,+91-9932962982,+91-9967287421,1632,TOWER-PUN-04,Pune Shivajinagar,2026-06-07 22:36:00,SMS
CDR-2024-000072,+91-9861945457,+91-9752855089,187,TOWER-DEL-11,Delhi Connaught Place,2026-06-04 04:48:00,DATA_SESSION
CDR-2024-000073,+91-9781110505,+91-8820797294,705,TOWER-PUN-04,Pune Shivajinagar,2026-06-06 18:15:00,VOICE
CDR-2024-000074,+91-8848629624,+91-9883016980,1388,TOWER-NAG-03,Nagpur Central,2026-06-29 14:18:00,VOICE
CDR-2024-000075,+91-9849258264,+91-9737325562,1329,TOWER-DEL-11,Delhi Connaught Place,2026-03-27 11:40:00,DATA_SESSION
CDR-2024-000076,+91-9932305161,+91-9857436504,846,TOWER-PUN-04,Pune Shivajinagar,2026-07-24 13:32:00,VOICE
CDR-2024-000077,+91-9925814688,+91-7057920326,294,TOWER-BLR-09,Bangalore MG Road,2026-09-02 17:36:00,DATA_SESSION
CDR-2024-000078,+91-9783472910,+91-9977842117,32,TOWER-PUN-04,Pune Shivajinagar,2026-07-21 00:38:00,SMS
CDR-2024-000079,+91-9770504772,+91-9749529219,1030,TOWER-MUM-01,Mumbai Gateway,2026-06-08 11:22:00,VOICE
CDR-2024-000080,+91-9414584910,+91-8863802882,1502,TOWER-NAG-03,Nagpur Central,2026-07-28 02:34:00,VOICE
CDR-2024-000081,+91-7092618375,+91-8819062824,685,TOWER-MUM-01,Mumbai Gateway,2026-06-17 12:57:00,VOICE
CDR-2024-000082,+91-9474194720,+91-9493247918,1575,TOWER-BEL-02,Belgaum Market,2026-04-30 09:44:00,VOICE
CDR-2024-000083,+91-9729947043,+91-8820521428,100,TOWER-DEL-11,Delhi Connaught Place,2026-06-30 07:49:00,SMS
CDR-2024-000084,+91-9428252444,+91-9833256675,129,TOWER-NAG-03,Nagpur Central,2026-04-22 09:33:00,VOICE
CDR-2024-000085,+91-9426995274,+91-8834021009,404,TOWER-DEL-11,Delhi Connaught Place,2026-07-21 06:27:00,VOICE
CDR-2024-000086,+91-9890846449,+91-9854847936,1042,TOWER-DEL-11,Delhi Connaught Place,2026-04-15 10:53:00,SMS
CDR-2024-000087,+91-9748421906,+91-9757131079,584,TOWER-DEL-11,Delhi Connaught Place,2026-04-01 01:20:00,VOICE
CDR-2024-000088,+91-9919731210,+91-9421917547,289,TOWER-BLR-09,Bangalore MG Road,2026-05-08 03:09:00,SMS
CDR-2024-000089,+91-9488590081,+91-9811626047,1688,TOWER-NAG-03,Nagpur Central,2026-09-11 22:01:00,VOICE
CDR-2024-000090,+91-9881483191,+91-7095550367,963,TOWER-PUN-04,Pune Shivajinagar,2026-08-14 13:02:00,DATA_SESSION
CDR-2024-000091,+91-8890276266,+91-9783239769,934,TOWER-BLR-09,Bangalore MG Road,2026-06-01 18:43:00,VOICE
CDR-2024-000092,+91-9754334373,+91-8886758145,1568,TOWER-NAG-03,Nagpur Central,2026-05-27 10:29:00,VOICE
CDR-2024-000093,+91-8844825071,+91-9933466911,535,TOWER-MUM-01,Mumbai Gateway,2026-05-27 19:40:00,SMS
CDR-2024-000094,+91-9764412933,+91-7078659001,1029,TOWER-PUN-04,Pune Shivajinagar,2026-04-18 07:28:00,SMS
CDR-2024-000095,+91-7057922126,+91-9972494529,1138,TOWER-DEL-11,Delhi Connaught Place,2026-04-08 08:09:00,DATA_SESSION
CDR-2024-000096,+91-9876345765,+91-7052620898,1094,TOWER-MUM-01,Mumbai Gateway,2026-03-27 14:27:00,DATA_SESSION
CDR-2024-000097,+91-9946806928,+91-7085725805,1308,TOWER-DEL-11,Delhi Connaught Place,2026-04-15 04:00:00,VOICE
CDR-2024-000098,+91-9835484655,+91-9747553851,1373,TOWER-DEL-11,Delhi Connaught Place,2026-07-04 10:46:00,VOICE
CDR-2024-000099,+91-9862538691,+91-7031362250,1743,TOWER-MUM-01,Mumbai Gateway,2026-05-21 16:20:00,VOICE
CDR-2024-000100,+91-7025525701,+91-8833295393,290,TOWER-BLR-09,Bangalore MG Road,2026-06-10 04:42:00,VOICE
CDR-2024-000101,+91-9466067394,+91-7068414800,1444,TOWER-BLR-09,Bangalore MG Road,2026-04-04 16:40:00,VOICE
CDR-2024-000102,+91-9939120719,+91-9816186237,1644,TOWER-BEL-02,Belgaum Market,2026-05-16 00:07:00,VOICE
CDR-2024-000103,+91-7068420795,+91-7016914244,170,TOWER-BLR-09,Bangalore MG Road,2026-07-04 00:03:00,SMS
CDR-2024-000104,+91-9988959822,+91-9966019168,137,TOWER-DEL-11,Delhi Connaught Place,2026-07-07 18:06:00,DATA_SESSION
CDR-2024-000105,+91-9889027674,+91-9861828002,421,TOWER-DEL-11,Delhi Connaught Place,2026-07-13 06:41:00,DATA_SESSION
CDR-2024-000106,+91-9484665272,+91-9775077522,303,TOWER-DEL-11,Delhi Connaught Place,2026-06-09 19:05:00,VOICE
CDR-2024-000107,+91-7037398261,+91-8840422062,66,TOWER-BLR-09,Bangalore MG Road,2026-08-19 17:23:00,VOICE
CDR-2024-000108,+91-8857498009,+91-9449448248,1787,TOWER-BEL-02,Belgaum Market,2026-07-09 00:41:00,DATA_SESSION
CDR-2024-000109,+91-9954597084,+91-9789871311,1154,TOWER-MUM-01,Mumbai Gateway,2026-07-17 02:58:00,VOICE
CDR-2024-000110,+91-7028872993,+91-7043973210,1042,TOWER-NAG-03,Nagpur Central,2026-08-16 02:33:00,DATA_SESSION
CDR-2024-000111,+91-9475104488,+91-9941514808,700,TOWER-PUN-04,Pune Shivajinagar,2026-03-28 17:28:00,DATA_SESSION
CDR-2024-000112,+91-9792899373,+91-8812169258,702,TOWER-BLR-09,Bangalore MG Road,2026-07-08 10:23:00,VOICE
CDR-2024-000113,+91-9796515915,+91-9785069610,412,TOWER-BEL-02,Belgaum Market,2026-06-14 02:39:00,DATA_SESSION
CDR-2024-000114,+91-9937258364,+91-9785282684,1736,TOWER-NAG-03,Nagpur Central,2026-04-11 06:26:00,SMS
CDR-2024-000115,+91-9939566376,+91-8885901990,1031,TOWER-NAG-03,Nagpur Central,2026-08-11 14:37:00,SMS
CDR-2024-000116,+91-9751659118,+91-9832066819,366,TOWER-PUN-04,Pune Shivajinagar,2026-07-29 23:56:00,DATA_SESSION
CDR-2024-000117,+91-9753448303,+91-9750066297,1449,TOWER-BEL-02,Belgaum Market,2026-09-06 19:58:00,DATA_SESSION
CDR-2024-000118,+91-9775173663,+91-7022429150,1784,TOWER-PUN-04,Pune Shivajinagar,2026-08-04 00:24:00,DATA_SESSION
CDR-2024-000119,+91-8861314294,+91-8835712893,1616,TOWER-NAG-03,Nagpur Central,2026-04-16 12:23:00,SMS
CDR-2024-000120,+91-9891152269,+91-7034027780,1033,TOWER-BLR-09,Bangalore MG Road,2026-07-14 12:25:00,VOICE
CDR-2024-000121,+91-9477625338,+91-7099204628,847,TOWER-PUN-04,Pune Shivajinagar,2026-04-09 00:26:00,VOICE
CDR-2024-000122,+91-7091047042,+91-8872706278,1477,TOWER-BLR-09,Bangalore MG Road,2026-05-01 20:04:00,DATA_SESSION
CDR-2024-000123,+91-8819208066,+91-9835124808,1529,TOWER-PUN-04,Pune Shivajinagar,2026-05-17 07:29:00,VOICE
CDR-2024-000124,+91-9842027504,+91-8876074271,462,TOWER-PUN-04,Pune Shivajinagar,2026-08-14 00:26:00,DATA_SESSION
CDR-2024-000125,+91-8821173761,+91-8884280183,1578,TOWER-BLR-09,Bangalore MG Road,2026-07-22 05:05:00,VOICE
CDR-2024-000126,+91-9480150094,+91-7059268556,917,TOWER-BEL-02,Belgaum Market,2026-09-09 14:52:00,VOICE
CDR-2024-000127,+91-8873217995,+91-9711187008,511,TOWER-PUN-04,Pune Shivajinagar,2026-03-25 14:27:00,SMS
CDR-2024-000128,+91-9786255158,+91-9719607888,1729,TOWER-DEL-11,Delhi Connaught Place,2026-06-27 14:11:00,SMS
CDR-2024-000129,+91-9443649706,+91-9934924746,1307,TOWER-PUN-04,Pune Shivajinagar,2026-06-09 12:10:00,DATA_SESSION
CDR-2024-000130,+91-9928489314,+91-8866267730,283,TOWER-DEL-11,Delhi Connaught Place,2026-06-10 15:15:00,VOICE
CDR-2024-000131,+91-9885481927,+91-8810958008,534,TOWER-NAG-03,Nagpur Central,2026-05-18 07:32:00,VOICE
CDR-2024-000132,+91-7076831713,+91-9738877760,171,TOWER-NAG-03,Nagpur Central,2026-06-16 14:28:00,VOICE
CDR-2024-000133,+91-8824785657,+91-9890496793,607,TOWER-PUN-04,Pune Shivajinagar,2026-04-01 10:20:00,DATA_SESSION
CDR-2024-000134,+91-8868453620,+91-9869246723,1621,TOWER-NAG-03,Nagpur Central,2026-05-24 15:29:00,SMS
CDR-2024-000135,+91-9955384071,+91-9916255677,239,TOWER-PUN-04,Pune Shivajinagar,2026-05-12 01:47:00,SMS
CDR-2024-000136,+91-9932592190,+91-8814231238,167,TOWER-NAG-03,Nagpur Central,2026-09-08 00:29:00,VOICE
CDR-2024-000137,+91-9486904474,+91-9862974182,1774,TOWER-PUN-04,Pune Shivajinagar,2026-08-08 16:25:00,DATA_SESSION
CDR-2024-000138,+91-7037134951,+91-9717265192,457,TOWER-MUM-01,Mumbai Gateway,2026-06-28 07:50:00,VOICE
CDR-2024-000139,+91-9971325805,+91-9468600708,451,TOWER-PUN-04,Pune Shivajinagar,2026-07-09 13:14:00,VOICE
CDR-2024-000140,+91-9799005646,+91-9714299713,43,TOWER-NAG-03,Nagpur Central,2026-06-04 12:37:00,VOICE
CDR-2024-000141,+91-9933207265,+91-7066597602,1666,TOWER-PUN-04,Pune Shivajinagar,2026-05-21 03:27:00,SMS
CDR-2024-000142,+91-8861725602,+91-9945610864,1657,TOWER-NAG-03,Nagpur Central,2026-08-01 05:55:00,DATA_SESSION
CDR-2024-000143,+91-8898619956,+91-8882546583,1229,TOWER-MUM-01,Mumbai Gateway,2026-06-03 00:48:00,SMS
CDR-2024-000144,+91-7049860312,+91-9477852397,57,TOWER-BLR-09,Bangalore MG Road,2026-07-19 03:25:00,SMS
CDR-2024-000145,+91-9476212434,+91-9884600320,1557,TOWER-BEL-02,Belgaum Market,2026-04-17 21:13:00,VOICE
CDR-2024-000146,+91-7036125384,+91-9818329272,330,TOWER-PUN-04,Pune Shivajinagar,2026-05-14 20:48:00,SMS
CDR-2024-000147,+91-9490683088,+91-9978014587,342,TOWER-BLR-09,Bangalore MG Road,2026-04-05 17:57:00,DATA_SESSION
CDR-2024-000148,+91-8817793067,+91-9959708109,235,TOWER-BEL-02,Belgaum Market,2026-03-31 17:36:00,DATA_SESSION
CDR-2024-000149,+91-9839419412,+91-9988196141,1467,TOWER-BEL-02,Belgaum Market,2026-05-02 23:30:00,VOICE
CDR-2024-000150,+91-7093565202,+91-7027617353,137,TOWER-MUM-01,Mumbai Gateway,2026-07-15 11:34:00,VOICE
CDR-2024-000151,+91-7057202115,+91-8877133706,1304,TOWER-MUM-01,Mumbai Gateway,2026-05-14 23:55:00,SMS
CDR-2024-000152,+91-8815603137,+91-7071825199,182,TOWER-NAG-03,Nagpur Central,2026-08-24 00:59:00,VOICE
CDR-2024-000153,+91-9476886594,+91-8814316103,116,TOWER-PUN-04,Pune Shivajinagar,2026-04-02 22:20:00,SMS
CDR-2024-000154,+91-8817735923,+91-8876271205,642,TOWER-DEL-11,Delhi Connaught Place,2026-06-05 06:00:00,VOICE
CDR-2024-000155,+91-9948221899,+91-9953522853,1028,TOWER-NAG-03,Nagpur Central,2026-04-15 05:01:00,SMS
CDR-2024-000156,+91-9425495554,+91-9836810381,332,TOWER-NAG-03,Nagpur Central,2026-08-19 00:06:00,VOICE
CDR-2024-000157,+91-8893184971,+91-9981391726,825,TOWER-BEL-02,Belgaum Market,2026-06-19 15:09:00,SMS
CDR-2024-000158,+91-7086128316,+91-8823464976,721,TOWER-NAG-03,Nagpur Central,2026-07-19 05:03:00,VOICE
CDR-2024-000159,+91-9937376109,+91-7061460518,154,TOWER-MUM-01,Mumbai Gateway,2026-05-02 13:27:00,DATA_SESSION
CDR-2024-000160,+91-9837071159,+91-9862143380,1006,TOWER-NAG-03,Nagpur Central,2026-06-05 08:03:00,VOICE
CDR-2024-000161,+91-7021471481,+91-9931012344,1424,TOWER-PUN-04,Pune Shivajinagar,2026-09-12 06:56:00,SMS
CDR-2024-000162,+91-7077528159,+91-9447329777,1289,TOWER-MUM-01,Mumbai Gateway,2026-07-08 11:38:00,VOICE
CDR-2024-000163,+91-9995708620,+91-9444008211,1743,TOWER-BEL-02,Belgaum Market,2026-08-28 12:08:00,VOICE
CDR-2024-000164,+91-7051015806,+91-7047460685,920,TOWER-NAG-03,Nagpur Central,2026-09-04 14:43:00,DATA_SESSION
CDR-2024-000165,+91-7057809039,+91-8858789362,459,TOWER-MUM-01,Mumbai Gateway,2026-05-09 23:42:00,VOICE
CDR-2024-000166,+91-9930348305,+91-7055971875,359,TOWER-NAG-03,Nagpur Central,2026-06-19 22:53:00,SMS
CDR-2024-000167,+91-9831094894,+91-9981432684,1711,TOWER-NAG-03,Nagpur Central,2026-08-09 10:03:00,VOICE
CDR-2024-000168,+91-7099028914,+91-9724440252,1542,TOWER-PUN-04,Pune Shivajinagar,2026-08-23 04:16:00,DATA_SESSION
CDR-2024-000169,+91-9734498032,+91-9998696798,580,TOWER-MUM-01,Mumbai Gateway,2026-06-19 09:58:00,VOICE
CDR-2024-000170,+91-8871793703,+91-9989926824,750,TOWER-PUN-04,Pune Shivajinagar,2026-07-15 17:06:00,VOICE
CDR-2024-000171,+91-9484324845,+91-7070963276,528,TOWER-BEL-02,Belgaum Market,2026-05-29 08:58:00,VOICE
CDR-2024-000172,+91-8856038488,+91-9498384556,1665,TOWER-BLR-09,Bangalore MG Road,2026-07-26 07:04:00,SMS
CDR-2024-000173,+91-9461141158,+91-9969946792,1618,TOWER-MUM-01,Mumbai Gateway,2026-04-24 04:28:00,DATA_SESSION
CDR-2024-000174,+91-9448005210,+91-7075901155,1753,TOWER-MUM-01,Mumbai Gateway,2026-08-21 11:07:00,DATA_SESSION
CDR-2024-000175,+91-9728771856,+91-9831204160,578,TOWER-NAG-03,Nagpur Central,2026-05-21 21:39:00,DATA_SESSION
CDR-2024-000176,+91-9493982604,+91-9754074117,1461,TOWER-BLR-09,Bangalore MG Road,2026-05-10 05:19:00,VOICE
CDR-2024-000177,+91-9790531307,+91-9444330445,1334,TOWER-MUM-01,Mumbai Gateway,2026-05-06 03:29:00,DATA_SESSION
CDR-2024-000178,+91-9418762121,+91-8842170372,413,TOWER-MUM-01,Mumbai Gateway,2026-08-07 21:38:00,DATA_SESSION
CDR-2024-000179,+91-7016903298,+91-9820244038,1276,TOWER-BEL-02,Belgaum Market,2026-07-29 08:32:00,DATA_SESSION
CDR-2024-000180,+91-7070053967,+91-8864754087,231,TOWER-BEL-02,Belgaum Market,2026-06-13 17:42:00,VOICE
CDR-2024-000181,+91-9461836151,+91-9764938786,640,TOWER-MUM-01,Mumbai Gateway,2026-08-04 06:19:00,VOICE
CDR-2024-000182,+91-7077081744,+91-9920030090,117,TOWER-DEL-11,Delhi Connaught Place,2026-07-15 11:46:00,DATA_SESSION
CDR-2024-000183,+91-7026461333,+91-8870444294,1400,TOWER-DEL-11,Delhi Connaught Place,2026-07-19 03:34:00,VOICE
CDR-2024-000184,+91-9854932959,+91-7062774770,851,TOWER-BLR-09,Bangalore MG Road,2026-07-26 20:16:00,DATA_SESSION
CDR-2024-000185,+91-9855921596,+91-8897239997,293,TOWER-DEL-11,Delhi Connaught Place,2026-06-03 00:47:00,VOICE
CDR-2024-000186,+91-7089189392,+91-7035521609,838,TOWER-MUM-01,Mumbai Gateway,2026-04-22 22:22:00,SMS
CDR-2024-000187,+91-9947793536,+91-9478390831,500,TOWER-NAG-03,Nagpur Central,2026-03-20 08:18:00,VOICE
CDR-2024-000188,+91-7086547550,+91-9830604646,1293,TOWER-NAG-03,Nagpur Central,2026-08-10 10:59:00,SMS
CDR-2024-000189,+91-9940330999,+91-8846074640,799,TOWER-NAG-03,Nagpur Central,2026-07-22 01:07:00,SMS
CDR-2024-000190,+91-9438555176,+91-9860592246,885,TOWER-DEL-11,Delhi Connaught Place,2026-08-18 05:22:00,SMS
CDR-2024-000191,+91-9721640146,+91-8862333450,979,TOWER-BEL-02,Belgaum Market,2026-06-15 21:27:00,VOICE
CDR-2024-000192,+91-9719556760,+91-9723220439,1782,TOWER-BLR-09,Bangalore MG Road,2026-07-26 14:03:00,VOICE
CDR-2024-000193,+91-9916023194,+91-9766400151,1323,TOWER-PUN-04,Pune Shivajinagar,2026-05-07 08:57:00,SMS
CDR-2024-000194,+91-9758725458,+91-9912231767,1593,TOWER-BEL-02,Belgaum Market,2026-06-28 06:57:00,VOICE
CDR-2024-000195,+91-8851156739,+91-9442788072,88,TOWER-BEL-02,Belgaum Market,2026-04-01 11:50:00,DATA_SESSION
CDR-2024-000196,+91-8863356856,+91-8855282755,1016,TOWER-NAG-03,Nagpur Central,2026-04-12 19:54:00,VOICE
CDR-2024-000197,+91-7010009351,+91-8837411567,761,TOWER-BLR-09,Bangalore MG Road,2026-08-16 05:32:00,DATA_SESSION
CDR-2024-000198,+91-9829911006,+91-9761792121,1259,TOWER-MUM-01,Mumbai Gateway,2026-09-08 16:25:00,SMS
CDR-2024-000199,+91-9414504599,+91-9951724053,513,TOWER-NAG-03,Nagpur Central,2026-07-14 17:49:00,VOICE
CDR-2024-000200,+91-9497586635,+91-9419464749,654,TOWER-MUM-01,Mumbai Gateway,2026-07-24 01:54:00,DATA_SESSION
