crime_no,suspect_full_name,alias_or_nickname,phone,rto_vehicle_number,fir_brief
KA-2023-KAL-0044,Dinesh Qureshi,,+91-9822160173,KA-24-EF-5956,"Smuggling & Contraband | 135 Customs Act, 120B IPC | Kalaburagi City PS"
KA-2023-BAN-0045,Sachin Hegde,,+91-9880264211,KA-07-BC-6700,"Smuggling & Contraband | 135 Customs Act, 120B IPC | Cottonpet PS"
KA-2023-BEL-0046,Prakash Hegde,,+91-9329977658,KA-12-JK-1844,"Arms Act & Gang Violence | 307 IPC, 25 Arms Act | Market PS"
KA-2023-BAN-0047,Imran Hegde,,+91-9760483146,KA-18-JK-1334,"Cyber Fraud & Syndicate Operations | 419, 420 IPC, 66D IT Act | Commercial Street PS"
KA-2023-HUB-0048,Manoj Memon,,+91-9958456787,KA-41-CD-1622,"Extortion & Robbery | 384, 392 IPC | Sub-Urban PS"
KA-2023-BEL-0049,Nasir Rao,,+91-7020779791,KA-02-EF-2991,"Extortion & Robbery | 384, 392 IPC | Market PS"
KA-2023-HUB-0050,Tariq Chavan,,+91-9725928335,KA-32-GH-2618,"Cyber Fraud & Syndicate Operations | 419, 420 IPC, 66D IT Act | Sub-Urban PS"
KA-2023-MYS-0051,Rahul Pawar,,+91-8815101416,KA-14-DE-8794,"Hawala & Money Laundering | 420, 120B IPC | Devaraja PS"
KA-2023-BAN-0052,Vikram Kadam,,+91-9740930714,KA-24-CD-6810,"Smuggling & Contraband | 135 Customs Act, 120B IPC | Cottonpet PS"
KA-2023-MYS-0053,Mohammad Pawar,,+91-7078781998,KA-05-DE-4773,"Cyber Fraud & Syndicate Operations | 419, 420 IPC, 66D IT Act | Devaraja PS"
KA-2023-KAL-0054,Pradeep Sawant,,+91-9991072614,KA-19-BC-9184,"Extortion & Robbery | 384, 392 IPC | Kalaburagi City PS"
KA-2023-MYS-0055,Ramesh Qureshi,,+91-9991224822,KA-36-BC-9754,"Hawala & Money Laundering | 420, 120B IPC | Lashkar PS"
KA-2023-HUB-0056,Shakeel Gowda,,+91-8822582959,KA-46-GH-1149,"Extortion & Robbery | 384, 392 IPC | Sub-Urban PS"
KA-2023-BEL-0057,Kishore Sawant,,+91-9769099234,KA-07-CD-8152,"Narcotics Trafficking | 8, 20, 29 NDPS Act | Market PS"
KA-2023-BAN-0058,Farhan Shaikh,,+91-9931436560,KA-01-CD-4338,"Extortion & Robbery | 384, 392 IPC | Shivajinagar PS"
KA-2023-KAL-0059,Vikram Ansari,,+91-8842322346,KA-47-EF-7559,"Extortion & Robbery | 384, 392 IPC | Kalaburagi City PS"
KA-2023-MYS-0060,Rahul Pawar,,+91-9917949957,KA-40-EF-6433,"Arms Act & Gang Violence | 307 IPC, 25 Arms Act | Devaraja PS"
KA-2023-MYS-0061,Ramesh Qureshi,,+91-8731387360,KA-34-LM-6075,"Extortion & Robbery | 384, 392 IPC | Lashkar PS"
KA-2023-BEL-0062,Pradeep Khan,,+91-9744296544,KA-43-BC-8796,"Arms Act & Gang Violence | 307 IPC, 25 Arms Act | Market PS"
KA-2023-BAN-0063,Imran Deshmukh,,+91-7767454370,KA-05-EF-9919,"Hawala & Money Laundering | 420, 120B IPC | Shivajinagar PS"
KA-2023-BAN-0064,Shakeel Chavan,,+91-9975853606,KA-06-GH-9734,"Hawala & Money Laundering | 420, 120B IPC | Cottonpet PS"
KA-2023-BAN-0065,Arjun Jadhav,,+91-9875504633,KA-25-DE-3565,"Narcotics Trafficking | 8, 20, 29 NDPS Act | Shivajinagar PS"
KA-2023-HUB-0066,Nasir Gowda,,+91-7067835722,KA-11-GH-7323,"Arms Act & Gang Violence | 307 IPC, 25 Arms Act | Sub-Urban PS"
KA-2023-MYS-0067,Imran Reddy,,+91-8722493906,KA-23-GH-4580,"Narcotics Trafficking | 8, 20, 29 NDPS Act | Lashkar PS"
KA-2023-BEL-0068,Prakash Chavan,,+91-9788327542,KA-27-CD-3796,"Extortion & Robbery | 384, 392 IPC | Khade Bazar PS"
KA-2023-BAN-0069,Prakash Chavan,,+91-7063198796,KA-10-BC-3690,"Cyber Fraud & Syndicate Operations | 419, 420 IPC, 66D IT Act | Commercial Street PS"
KA-2023-BEL-0070,Tariq Patil,,+91-8723849215,KA-35-GH-5872,"Smuggling & Contraband | 135 Customs Act, 120B IPC | Market PS"
KA-2023-MYS-0071,Salim Hegde,,+91-9946885597,KA-26-BC-5565,"Hawala & Money Laundering | 420, 120B IPC | Lashkar PS"
KA-2023-MAN-0072,Prakash Sayed,,+91-9331637658,KA-06-BC-3163,"Arms Act & Gang Violence | 307 IPC, 25 Arms Act | Bunder PS"
KA-2023-MYS-0073,Salim Ansari,,+91-9967660157,KA-08-BC-2895,"Smuggling & Contraband | 135 Customs Act, 120B IPC | Lashkar PS"
KA-2023-BAN-0074,Imran Shaikh,,+91-9966611325,KA-17-BC-1849,"Extortion & Robbery | 384, 392 IPC | Cottonpet PS"
KA-2023-BEL-0075,Kishore Kadam,,+91-8728705970,KA-28-GH-4125,"Extortion & Robbery | 384, 392 IPC | Market PS"
KA-2023-BEL-0076,Deepak Sayed,,+91-7761096173,KA-20-LM-6107,"Cyber Fraud & Syndicate Operations | 419, 420 IPC, 66D IT Act | Market PS"
KA-2023-BAN-0077,Sachin Chavan,,+91-8772007902,KA-10-CD-2335,"Extortion & Robbery | 384, 392 IPC | Commercial Street PS"
KA-2023-BAN-0078,Ramesh Hegde,,+91-7025580331,KA-40-LM-2191,"Smuggling & Contraband | 135 Customs Act, 120B IPC | Commercial Street PS"
KA-2023-BEL-0079,Anil Naik,,+91-9943910497,KA-23-CD-9500,"Arms Act & Gang Violence | 307 IPC, 25 Arms Act | Khade Bazar PS"
KA-2023-MAN-0080,Pradeep Khan,,+91-7772396837,KA-21-CD-6283,"Arms Act & Gang Violence | 307 IPC, 25 Arms Act | Bunder PS"
KA-2023-MYS-0081,Suresh Ansari,,+91-8716005008,KA-31-JK-3138,"Arms Act & Gang Violence | 307 IPC, 25 Arms Act | Lashkar PS"
KA-2023-MYS-0082,Shakeel Siddiqui,,+91-9316107136,KA-29-LM-5804,"Hawala & Money Laundering | 420, 120B IPC | Devaraja PS"
KA-2023-MYS-0083,Anil Sawant,,+91-7018987226,KA-45-AB-6363,"Extortion & Robbery | 384, 392 IPC | Devaraja PS"
KA-2023-BEL-0084,Anil Siddiqui,,+91-7042867563,KA-44-AB-4858,"Cyber Fraud & Syndicate Operations | 419, 420 IPC, 66D IT Act | Market PS"
KA-2023-BAN-0085,Shakeel Hegde,,+91-7760214256,KA-47-CD-7682,"Arms Act & Gang Violence | 307 IPC, 25 Arms Act | Shivajinagar PS"
KA-2023-BAN-0086,Rajesh Khan,,+91-9773172340,KA-11-DE-5375,"Narcotics Trafficking | 8, 20, 29 NDPS Act | Commercial Street PS"
KA-2023-BAN-0087,Kishore Hegde,,+91-8781677609,KA-43-BC-2675,"Hawala & Money Laundering | 420, 120B IPC | Cottonpet PS"
KA-2023-BAN-0088,Imran Rao,,+91-9328561360,KA-42-LM-9841,"Cyber Fraud & Syndicate Operations | 419, 420 IPC, 66D IT Act | Shivajinagar PS"
KA-2023-MYS-0089,Nasir Qureshi,,+91-7010000798,KA-32-DE-2311,"Narcotics Trafficking | 8, 20, 29 NDPS Act | Devaraja PS"
KA-2023-MYS-0090,Arjun Patil,,+91-8836868997,KA-04-BC-5007,"Cyber Fraud & Syndicate Operations | 419, 420 IPC, 66D IT Act | Lashkar PS"
KA-2023-BAN-0091,Manoj Gowda,,+91-7036046821,KA-05-DE-5344,"Extortion & Robbery | 384, 392 IPC | Cottonpet PS"
KA-2023-BAN-0092,Mahesh Sawant,,+91-9337059914,KA-26-LM-3167,"Arms Act & Gang Violence | 307 IPC, 25 Arms Act | Shivajinagar PS"
KA-2023-BAN-0093,Sachin Rao,,+91-9992228896,KA-15-JK-7300,"Hawala & Money Laundering | 420, 120B IPC | Shivajinagar PS"
KA-2023-KAL-0094,Rajesh Gowda,,+91-7073252765,KA-18-LM-7737,"Hawala & Money Laundering | 420, 120B IPC | Kalaburagi City PS"
KA-2023-BEL-0095,Prakash Shetty,,+91-7771729012,KA-18-BC-5719,"Cyber Fraud & Syndicate Operations | 419, 420 IPC, 66D IT Act | Khade Bazar PS"
KA-2023-MYS-0096,Salim Naik,,+91-9328169757,KA-32-AB-5032,"Narcotics Trafficking | 8, 20, 29 NDPS Act | Lashkar PS"
KA-2023-HUB-0097,Kiran Pathan,,+91-7763570843,KA-47-LM-2151,"Smuggling & Contraband | 135 Customs Act, 120B IPC | Sub-Urban PS"
KA-2023-MYS-0098,Nasir Rao,,+91-9794124202,KA-24-EF-6057,"Extortion & Robbery | 384, 392 IPC | Devaraja PS"
KA-2023-KAL-0099,Sunil Gowda,,+91-7766016648,KA-07-EF-6587,"Smuggling & Contraband | 135 Customs Act, 120B IPC | Kalaburagi City PS"
KA-2023-KAL-0100,Kiran Jadhav,,+91-7797659174,KA-38-GH-4106,"Extortion & Robbery | 384, 392 IPC | Kalaburagi City PS"
KA-2023-HUB-0101,Deepak Ansari,,+91-7012465192,KA-03-EF-1596,"Hawala & Money Laundering | 420, 120B IPC | Sub-Urban PS"
KA-2023-KAL-0102,Kishore Kamath,,+91-8856113119,KA-40-CD-3633,"Cyber Fraud & Syndicate Operations | 419, 420 IPC, 66D IT Act | Kalaburagi City PS"
KA-2023-BEL-0103,Shakeel Khan,,+91-7049718165,KA-42-JK-1904,"Hawala & Money Laundering | 420, 120B IPC | Khade Bazar PS"
KA-2023-BEL-0104,Farhan Patil,,+91-9777068533,KA-25-GH-6506,"Cyber Fraud & Syndicate Operations | 419, 420 IPC, 66D IT Act | Market PS"
KA-2023-MYS-0105,Manoj Memon,,+91-8887160780,KA-24-GH-2593,"Smuggling & Contraband | 135 Customs Act, 120B IPC | Devaraja PS"
KA-2023-MAN-0106,Tariq Shaikh,,+91-9949515208,KA-40-LM-9511,"Narcotics Trafficking | 8, 20, 29 NDPS Act | Bunder PS"
KA-2023-BAN-0107,Arjun Ansari,,+91-9314970125,KA-29-EF-3363,"Arms Act & Gang Violence | 307 IPC, 25 Arms Act | Commercial Street PS"
KA-2023-HUB-0108,Tariq Shetty,,+91-8772377759,KA-08-JK-4387,"Extortion & Robbery | 384, 392 IPC | Sub-Urban PS"
KA-2023-BEL-0109,Prakash Gowda,,+91-7779601925,KA-38-EF-1443,"Cyber Fraud & Syndicate Operations | 419, 420 IPC, 66D IT Act | Market PS"
KA-2023-KAL-0110,Mohammad Jadhav,,+91-7075066842,KA-31-AB-5365,"Arms Act & Gang Violence | 307 IPC, 25 Arms Act | Kalaburagi City PS"
KA-2023-HUB-0111,Pradeep Hegde,,+91-9992726861,KA-39-BC-8197,"Cyber Fraud & Syndicate Operations | 419, 420 IPC, 66D IT Act | Sub-Urban PS"
KA-2023-BAN-0112,Ganesh Deshmukh,,+91-8744318138,KA-15-BC-9933,"Hawala & Money Laundering | 420, 120B IPC | Cottonpet PS"
KA-2023-MAN-0113,Ajay Shetty,,+91-9916407250,KA-15-JK-4423,"Cyber Fraud & Syndicate Operations | 419, 420 IPC, 66D IT Act | Bunder PS"
KA-2023-KAL-0114,Imran Ansari,,+91-8755092431,KA-19-DE-2700,"Hawala & Money Laundering | 420, 120B IPC | Kalaburagi City PS"
KA-2023-BEL-0115,Pradeep Pathan,,+91-7754661940,KA-02-DE-7234,"Smuggling & Contraband | 135 Customs Act, 120B IPC | Khade Bazar PS"
KA-2023-KAL-0116,Deepak Kadam,,+91-8875448258,KA-11-AB-7093,"Narcotics Trafficking | 8, 20, 29 NDPS Act | Kalaburagi City PS"
KA-2023-BAN-0117,Amit Rao,,+91-9828294954,KA-10-EF-7821,"Cyber Fraud & Syndicate Operations | 419, 420 IPC, 66D IT Act | Cottonpet PS"
KA-2023-BEL-0118,Prakash Pathan,,+91-7725906516,KA-27-GH-9284,"Hawala & Money Laundering | 420, 120B IPC | Market PS"
KA-2023-BAN-0119,Deepak Rao,,+91-9717242770,KA-32-GH-5861,"Cyber Fraud & Syndicate Operations | 419, 420 IPC, 66D IT Act | Commercial Street PS"
KA-2023-HUB-0120,Ganesh Khan,,+91-8718387893,KA-37-AB-5997,"Hawala & Money Laundering | 420, 120B IPC | Sub-Urban PS"
