call_id,caller_msisdn,receiver_msisdn,caller_name,duration_sec,cell_tower_id,timestamp,call_type
CDR-N-0064,+91-9971861645,+91-8939583975,Aarav Patel,1336,CELL-HYD-3301,2025-03-28T14:11:00,benign
CDR-N-0065,+91-7164744099,+91-8242252906,Vikram Joshi,689,CELL-DEL-1101,2025-07-09T13:16:00,benign
CDR-N-0066,+91-9735820735,+91-8541112540,Lakshmi Sharma,736,CELL-BLR-2201,2025-11-03T20:02:00,benign
CDR-N-0067,+91-9471414067,+91-7810236130,Aarav Das,332,CELL-BLR-2201,2025-03-16T21:07:00,benign
CDR-N-0068,+91-8848038569,+91-8523843586,Pooja Iyer,1260,CELL-MUM-4002,2025-03-10T03:37:00,benign
CDR-N-0069,+91-7084150888,+91-8886798781,Rahul Reddy,1484,CELL-BLR-2201,2025-02-19T22:53:00,benign
CDR-N-0070,+91-9055341830,+91-7333949529,Ritu Singh,267,CELL-MUM-4001,2025-06-18T13:42:00,benign
CDR-N-0071,+91-8214219038,+91-8657994874,Karan Sharma,1759,CELL-HYD-3301,2025-08-04T13:23:00,benign
CDR-N-0072,+91-9082670258,+91-9317730052,Anita Iyer,1522,CELL-BLR-2202,2025-10-26T17:49:00,benign
CDR-N-0073,+91-8584370931,+91-8427287656,Arjun Nair,1764,CELL-BLR-2201,2025-02-09T14:15:00,benign
CDR-N-0074,+91-9459170910,+91-8867289997,Rahul Nair,78,CELL-AHM-4401,2025-06-06T15:13:00,benign
CDR-N-0075,+91-8162643862,+91-8115246655,Ritu Pawar,585,CELL-MUM-4001,2025-09-07T02:15:00,benign
CDR-N-0076,+91-9359563271,+91-8600982768,Neha Pawar,995,CELL-AHM-4401,2025-08-26T00:05:00,benign
CDR-N-0077,+91-7964139045,+91-8325141890,Divya Kulkarni,1211,CELL-DEL-1101,2025-08-18T16:22:00,benign
CDR-N-0078,+91-8394282140,+91-8083956112,Suresh Gupta,647,CELL-BLR-2202,2025-04-04T23:12:00,benign
CDR-N-0079,+91-8033925670,+91-9434280236,Kavya Khan,463,CELL-AHM-4401,2025-05-24T18:48:00,benign
CDR-N-0080,+91-8719188222,+91-7927323176,Vikram Gupta,485,CELL-DEL-1101,2025-03-10T00:45:00,benign
CDR-N-0081,+91-8750226591,+91-7898815965,Rohan Mehta,618,CELL-PNQ-1101,2025-11-28T15:06:00,benign
CDR-N-0082,+91-9859711607,+91-8881047268,Meera Joshi,922,CELL-DEL-1101,2025-03-02T08:55:00,benign
CDR-N-0083,+91-8565424953,+91-9693918564,Rahul Joshi,171,CELL-MUM-4001,2025-03-05T18:19:00,benign
CDR-N-0084,+91-7279142530,+91-7388183147,Anita Das,1240,CELL-BLR-2201,2025-09-13T14:58:00,benign
CDR-N-0085,+91-8450748974,+91-9818587139,Anita Gupta,1184,CELL-MUM-4001,2025-10-24T03:48:00,benign
CDR-N-0086,+91-7680891987,+91-7691444687,Priya Iyer,511,CELL-PNQ-1101,2025-09-03T05:00:00,benign
CDR-N-0087,+91-8338669048,+91-9258987832,Meera Gupta,86,CELL-BLR-2201,2025-05-23T09:44:00,benign
CDR-N-0088,+91-9816769510,+91-7233240595,Arjun Singh,1640,CELL-BLR-2201,2025-07-04T17:14:00,benign
CDR-N-0089,+91-9122129528,+91-9976644816,Amit Patel,142,CELL-PNQ-1101,2025-05-20T23:52:00,benign
CDR-N-0090,+91-8865147828,+91-8439026299,Suresh Pawar,642,CELL-HYD-3301,2025-05-17T17:31:00,benign
CDR-N-0091,+91-8434420543,+91-8959615224,Anita Pawar,680,CELL-BLR-2202,2025-01-03T07:43:00,benign
CDR-N-0092,+91-9739285392,+91-8923812719,Arjun Das,102,CELL-PNQ-1101,2025-08-17T20:28:00,benign
CDR-N-0093,+91-7911433788,+91-8918067132,Meera Patel,982,CELL-DEL-1101,2025-07-11T10:42:00,benign
CDR-N-0094,+91-7342731079,+91-8080763955,Meera Gupta,1376,CELL-HYD-3301,2025-09-02T14:05:00,benign
CDR-N-0095,+91-8030643082,+91-8059325194,Rahul Yadav,1073,CELL-MUM-4001,2025-11-28T17:29:00,benign
CDR-N-0096,+91-8354117104,+91-7614677952,Pooja Das,1569,CELL-AHM-4401,2025-11-15T01:13:00,benign
CDR-N-0097,+91-7875081987,+91-7429347752,Suresh Mishra,1450,CELL-AHM-4401,2025-02-01T20:38:00,benign
CDR-N-0098,+91-9619141365,+91-9325830758,Divya Mehta,48,CELL-HYD-3301,2025-02-08T03:29:00,benign
CDR-N-0099,+91-7384994896,+91-9726730181,Meera Mishra,1487,CELL-BLR-2202,2025-09-23T08:26:00,benign
CDR-N-0100,+91-9735273242,+91-8547341946,Suresh Mehta,316,CELL-HYD-3301,2025-04-20T16:47:00,benign
CDR-N-0101,+91-9881327892,+91-9831219150,Arjun Singh,1637,CELL-HYD-3301,2025-06-26T16:17:00,benign
CDR-N-0102,+91-9688710336,+91-7926849132,Manoj Das,1371,CELL-AHM-4401,2025-03-15T17:30:00,benign
CDR-N-0103,+91-8130953573,+91-8808581228,Rahul Joshi,679,CELL-BLR-2201,2025-12-08T18:24:00,benign
CDR-N-0104,+91-7765363841,+91-7143051704,Meera Pawar,1681,CELL-HYD-3301,2025-07-22T20:09:00,benign
CDR-N-0105,+91-8623014852,+91-7413675836,Manoj Nair,225,CELL-AHM-4401,2025-02-17T14:00:00,benign
CDR-N-0106,+91-9367328894,+91-8343495823,Amit Patel,981,CELL-BLR-2202,2025-06-20T22:25:00,benign
CDR-N-0107,+91-9129320527,+91-9791053065,Lakshmi Reddy,668,CELL-AHM-4401,2025-09-02T19:04:00,benign
CDR-N-0108,+91-7769292727,+91-9242647667,Neha Pawar,205,CELL-HYD-3301,2025-02-25T20:45:00,benign
CDR-N-0109,+91-9859223173,+91-8453831805,Divya Mishra,79,CELL-MUM-4001,2025-06-26T01:18:00,benign
CDR-N-0110,+91-8174659131,+91-8411229080,Neha Mehta,863,CELL-PNQ-1101,2025-03-06T02:39:00,benign
CDR-N-0111,+91-9853560140,+91-9030699539,Neha Joshi,1214,CELL-PNQ-1101,2025-04-15T20:16:00,benign
CDR-N-0112,+91-8505943466,+91-9185111231,Suresh Mishra,609,CELL-PNQ-1101,2025-02-15T11:37:00,benign
CDR-N-0113,+91-7980293746,+91-8390342780,Suresh Yadav,638,CELL-BLR-2201,2025-07-28T15:06:00,benign
CDR-N-0114,+91-7777259986,+91-8874057049,Manoj Gupta,1452,CELL-BLR-2202,2025-01-27T21:25:00,benign
CDR-N-0115,+91-7899411061,+91-8854499889,Rohan Mishra,1261,CELL-AHM-4401,2025-05-25T07:38:00,benign
CDR-N-0116,+91-9627756179,+91-7717693442,Vikram Das,533,CELL-PNQ-1101,2025-11-04T20:41:00,benign
CDR-N-0117,+91-7129150492,+91-9584167779,Rohan Das,767,CELL-PNQ-1101,2025-02-10T10:47:00,benign
CDR-N-0118,+91-8361533021,+91-7657927322,Lakshmi Mishra,769,CELL-BLR-2202,2025-03-09T15:51:00,benign
CDR-N-0119,+91-7967154396,+91-9635325095,Suresh Patel,308,CELL-BLR-2201,2025-11-24T21:25:00,benign
CDR-N-0120,+91-9771383048,+91-8198521836,Rahul Sharma,561,CELL-MUM-4002,2025-08-12T21:47:00,benign
CDR-N-0121,+91-9203144362,+91-8915459941,Pooja Patel,1402,CELL-BLR-2201,2025-08-01T19:56:00,benign
CDR-N-0122,+91-8839652992,+91-9999189964,Neha Kulkarni,149,CELL-AHM-4401,2025-12-10T20:26:00,benign
CDR-N-0123,+91-7382328320,+91-7148514877,Divya Joshi,257,CELL-MUM-4002,2025-04-18T04:24:00,benign
CDR-N-0124,+91-8486458629,+91-9197080804,Anita Das,1540,CELL-PNQ-1101,2025-07-21T03:53:00,benign
CDR-N-0125,+91-8603490694,+91-8337346666,Rohan Pawar,778,CELL-BLR-2201,2025-08-15T07:54:00,benign
CDR-N-0126,+91-8188423022,+91-9246858147,Lakshmi Mishra,1340,CELL-DEL-1101,2025-01-13T08:12:00,benign
CDR-N-0127,+91-7400269600,+91-7300396870,Vikram Kulkarni,1329,CELL-MUM-4001,2025-01-26T10:15:00,benign
CDR-N-0128,+91-7412684000,+91-7672418992,Lakshmi Khan,1220,CELL-BLR-2201,2025-04-11T04:50:00,benign
CDR-N-0129,+91-9950888116,+91-7009246342,Amit Iyer,1126,CELL-BLR-2202,2025-03-04T21:55:00,benign
CDR-N-0130,+91-7084427275,+91-7048656955,Neha Das,683,CELL-MUM-4001,2025-03-09T01:08:00,benign
CDR-N-0131,+91-9430465176,+91-8723824896,Priya Joshi,938,CELL-DEL-1101,2025-09-19T03:28:00,benign
CDR-N-0132,+91-8650939038,+91-9015515683,Deepak Gupta,958,CELL-MUM-4001,2025-01-16T12:27:00,benign
CDR-N-0133,+91-9248224150,+91-8606568138,Priya Mishra,185,CELL-DEL-1101,2025-10-05T02:08:00,benign
CDR-N-0134,+91-7901191830,+91-9074486724,Lakshmi Pawar,685,CELL-HYD-3301,2025-10-17T09:29:00,benign
CDR-N-0135,+91-8656589354,+91-8409622999,Sneha Yadav,1360,CELL-BLR-2201,2025-07-15T07:26:00,benign
CDR-N-0136,+91-8110669441,+91-8306564524,Sneha Nair,894,CELL-DEL-1101,2025-11-09T11:09:00,benign
CDR-N-0137,+91-9250572163,+91-7219921957,Priya Patel,904,CELL-MUM-4002,2025-12-24T11:51:00,benign
CDR-N-0138,+91-7426382924,+91-7196586869,Lakshmi Mehta,695,CELL-MUM-4002,2025-07-12T21:48:00,benign
CDR-N-0139,+91-8385816743,+91-7942588696,Divya Nair,232,CELL-BLR-2201,2025-03-22T15:14:00,benign
CDR-N-0140,+91-9776324184,+91-8147282910,Pooja Patel,1581,CELL-BLR-2202,2025-10-08T13:54:00,benign
CDR-N-0141,+91-8838191490,+91-9010598470,Lakshmi Sharma,1267,CELL-BLR-2202,2025-01-06T08:44:00,benign
CDR-N-0142,+91-9498250499,+91-8113556009,Aarav Iyer,313,CELL-HYD-3301,2025-02-05T23:40:00,benign
CDR-N-0143,+91-7100422026,+91-9444879531,Vikram Reddy,879,CELL-AHM-4401,2025-06-06T11:19:00,benign
CDR-N-0144,+91-9364552517,+91-9545584395,Ritu Patel,127,CELL-PNQ-1101,2025-03-25T19:03:00,benign
CDR-N-0145,+91-9208420693,+91-7891668079,Anita Joshi,1263,CELL-AHM-4401,2025-07-09T06:48:00,benign
CDR-N-0146,+91-8678824918,+91-8131066349,Sneha Gupta,1408,CELL-AHM-4401,2025-09-22T09:02:00,benign
CDR-N-0147,+91-7722561807,+91-8963817180,Aarav Khan,637,CELL-BLR-2201,2025-03-25T08:18:00,benign
CDR-N-0148,+91-8075125726,+91-7025375193,Anita Iyer,284,CELL-HYD-3301,2025-09-23T07:32:00,benign
CDR-N-0149,+91-8830897562,+91-9641756421,Priya Reddy,1784,CELL-MUM-4001,2025-07-01T14:58:00,benign
CDR-N-0150,+91-7255151033,+91-8886666267,Manoj Reddy,1473,CELL-HYD-3301,2025-05-04T12:01:00,benign
CDR-N-0151,+91-8064232527,+91-9625791018,Suresh Yadav,1432,CELL-DEL-1101,2025-02-14T03:15:00,benign
CDR-N-0152,+91-8427687184,+91-8312178676,Priya Reddy,655,CELL-DEL-1101,2025-04-11T05:04:00,benign
CDR-N-0153,+91-8672792998,+91-7373679547,Deepak Khan,1609,CELL-DEL-1101,2025-06-24T20:52:00,benign
CDR-N-0154,+91-7483940968,+91-7336829194,Arjun Khan,375,CELL-PNQ-1101,2025-11-03T05:49:00,benign
CDR-N-0155,+91-9057674764,+91-8520283889,Manoj Joshi,1414,CELL-DEL-1101,2025-11-11T04:28:00,benign
CDR-N-0156,+91-7223771462,+91-8449092756,Divya Singh,582,CELL-MUM-4001,2025-06-17T02:19:00,benign
CDR-N-0157,+91-8513069233,+91-7123217456,Pooja Yadav,607,CELL-MUM-4002,2025-11-28T02:39:00,benign
CDR-N-0158,+91-8946676462,+91-8259870648,Manoj Mehta,1641,CELL-MUM-4001,2025-08-26T18:41:00,benign
CDR-N-0159,+91-7616852143,+91-8982472341,Deepak Iyer,146,CELL-AHM-4401,2025-02-26T10:45:00,benign
CDR-N-0160,+91-7276376132,+91-9117232617,Rohan Khan,1469,CELL-AHM-4401,2025-08-17T16:39:00,benign
CDR-N-0161,+91-7520157696,+91-8221747079,Rahul Reddy,1606,CELL-DEL-1101,2025-11-20T01:50:00,benign
CDR-N-0162,+91-9067294843,+91-8096518639,Karan Patel,1162,CELL-HYD-3301,2025-05-09T23:54:00,benign
CDR-N-0163,+91-9151488997,+91-9861529709,Karan Patel,1213,CELL-PNQ-1101,2025-06-10T20:44:00,benign
CDR-N-0164,+91-9169661374,+91-7422587993,Priya Gupta,1164,CELL-HYD-3301,2025-11-26T10:52:00,benign
CDR-N-0165,+91-7418797833,+91-9303099838,Deepak Patel,1343,CELL-HYD-3301,2025-09-12T00:23:00,benign
CDR-N-0166,+91-8012033627,+91-7701854791,Meera Khan,483,CELL-PNQ-1101,2025-03-03T09:54:00,benign
CDR-N-0167,+91-9582523256,+91-8663580748,Deepak Sharma,1375,CELL-DEL-1101,2025-10-05T19:24:00,benign
CDR-N-0168,+91-7505431266,+91-7592591885,Kavya Pawar,916,CELL-MUM-4001,2025-07-12T21:46:00,benign
CDR-N-0169,+91-7778368222,+91-9000747346,Suresh Khan,1113,CELL-BLR-2201,2025-05-26T15:57:00,benign
CDR-N-0170,+91-9736435430,+91-8205398907,Manoj Joshi,965,CELL-BLR-2202,2025-07-17T16:26:00,benign
CDR-N-0171,+91-7531036174,+91-9625589254,Amit Yadav,532,CELL-MUM-4001,2025-11-16T11:35:00,benign
CDR-N-0172,+91-7336177621,+91-9789126341,Divya Patel,1582,CELL-PNQ-1101,2025-05-15T16:09:00,benign
CDR-N-0173,+91-9723167340,+91-7300539102,Suresh Mishra,735,CELL-MUM-4001,2025-07-02T12:32:00,benign
CDR-N-0174,+91-8225340903,+91-8265320696,Pooja Khan,77,CELL-DEL-1101,2025-02-27T22:41:00,benign
CDR-N-0175,+91-8098629142,+91-7450815020,Divya Mishra,1719,CELL-AHM-4401,2025-12-27T04:48:00,benign
CDR-N-0176,+91-9311971487,+91-8469990654,Aarav Mishra,182,CELL-MUM-4001,2025-05-07T04:35:00,benign
CDR-N-0177,+91-9383089807,+91-8729465476,Sneha Singh,610,CELL-BLR-2201,2025-05-04T01:15:00,benign
CDR-N-0178,+91-8375693748,+91-9601491633,Suresh Patel,247,CELL-AHM-4401,2025-10-18T00:40:00,benign
CDR-N-0179,+91-8688785372,+91-7792728818,Divya Reddy,23,CELL-DEL-1101,2025-04-19T13:11:00,benign
CDR-N-0180,+91-9177097584,+91-7280578614,Pooja Patel,1097,CELL-MUM-4001,2025-07-28T15:02:00,benign
CDR-N-0181,+91-9082960709,+91-8223243246,Aarav Nair,1634,CELL-MUM-4002,2025-06-08T23:42:00,benign
CDR-N-0182,+91-9058623587,+91-9528086271,Karan Iyer,110,CELL-DEL-1101,2025-09-11T20:11:00,benign
CDR-N-0183,+91-9721099742,+91-8522472722,Kavya Singh,296,CELL-MUM-4002,2025-12-25T14:02:00,benign
CDR-N-0184,+91-7961536422,+91-7143536144,Rohan Nair,655,CELL-HYD-3301,2025-09-16T08:02:00,benign
CDR-N-0185,+91-9468394790,+91-7626247501,Pooja Yadav,1619,CELL-MUM-4001,2025-11-11T08:07:00,benign
CDR-N-0186,+91-9619258237,+91-8431862431,Suresh Mishra,811,CELL-DEL-1101,2025-03-16T22:31:00,benign
CDR-N-0187,+91-8203778062,+91-7873920828,Anita Patel,901,CELL-PNQ-1101,2025-09-10T10:06:00,benign
CDR-N-0188,+91-7262352981,+91-9165748750,Divya Joshi,1254,CELL-HYD-3301,2025-03-23T14:22:00,benign
CDR-N-0189,+91-8465115551,+91-9381656210,Ritu Reddy,582,CELL-MUM-4001,2025-02-22T20:25:00,benign
CDR-N-0190,+91-8190477251,+91-9625099051,Kavya Sharma,312,CELL-AHM-4401,2025-01-05T02:15:00,benign
CDR-N-0191,+91-9551094562,+91-8200357467,Rahul Das,86,CELL-PNQ-1101,2025-11-15T11:23:00,benign
CDR-N-0192,+91-8454720077,+91-8880628047,Deepak Nair,835,CELL-DEL-1101,2025-11-09T07:07:00,benign
CDR-N-0193,+91-7084934385,+91-8635277861,Rahul Mishra,1170,CELL-MUM-4002,2025-05-25T08:45:00,benign
CDR-N-0194,+91-8462338124,+91-9004947431,Meera Khan,271,CELL-PNQ-1101,2025-02-15T05:57:00,benign
CDR-N-0195,+91-9337568341,+91-7287699381,Karan Kulkarni,731,CELL-MUM-4002,2025-09-18T09:57:00,benign
CDR-N-0196,+91-7982830644,+91-9332493584,Kavya Singh,760,CELL-BLR-2201,2025-02-07T04:15:00,benign
CDR-N-0197,+91-9589874752,+91-7086157303,Lakshmi Das,775,CELL-AHM-4401,2025-09-05T19:56:00,benign
CDR-N-0198,+91-7282518617,+91-8013462187,Meera Mehta,861,CELL-HYD-3301,2025-10-03T04:20:00,benign
CDR-N-0199,+91-9104819720,+91-8474471057,Deepak Nair,282,CELL-PNQ-1101,2025-03-14T16:58:00,benign
CDR-N-0200,+91-9844917263,+91-9724326274,Deepak Iyer,642,CELL-PNQ-1101,2025-03-11T22:14:00,benign
