transaction_id,sender_name,sender_account,receiver_name,receiver_account,amount_inr,flag_reason,timestamp
TXN-FIU-10041,Arjun Rao,SBI-3468031896,Ajay Siddiqui,PNB-9365869572,2163175.18,Dormant Account Spike,2026-01-03 17:02:39
TXN-FIU-10042,Imran Kadam,HDFC-7132104683,Sachin Sayed,ICICI-2983738352,1132479.62,Normal Trade Settlement,2025-09-29 17:02:39
TXN-FIU-10043,Rajesh Kamath,ICICI-9155855108,Irfan Hegde,SBI-5974215344,899222.98,Dormant Account Spike,2025-07-28 17:02:39
TXN-FIU-10044,Kishore Ansari,AXIS-6937449151,Rahul Shaikh,SBI-3468031896,1561112.75,Round Trip Transactions,2025-12-08 17:02:39
TXN-FIU-10045,Tariq Memon,HDFC-3598603170,Nasir Shinde,SBI-4039334792,69962.8,Dormant Account Spike,2025-08-20 17:02:39
TXN-FIU-10046,Suresh Hegde,HDFC-2230404456,Santosh Hegde,AXIS-2849280305,828406.35,Rapid Succession Transfers,2026-07-10 17:02:39
TXN-FIU-10047,Mahesh Kamath,SBI-6645556937,Tariq Shaikh,ICICI-8486450422,1152736.46,High-Risk Geography Outflow,2025-03-03 17:02:39
TXN-FIU-10048,Pradeep Kamath,SBI-7607066805,Rahul Kamath,ICICI-7836464312,1305190.38,Dormant Account Spike,2026-05-19 17:02:39
TXN-FIU-10049,Farhan Kadam,SBI-4039334792,Vijay Sayed,HDFC-9986910988,1903666.95,Normal Trade Settlement,2026-01-12 17:02:39
TXN-FIU-10050,Santosh Jadhav,SBI-4270108217,Mohammad Patil,ICICI-5114292912,3385352.33,High-Risk Geography Outflow,2025-09-01 17:02:39
TXN-FIU-10051,Kishore Siddiqui,HDFC-8256999095,Sunil Shaikh,HDFC-2230404456,936884.36,Structured Deposits <50k,2025-03-03 17:02:39
TXN-FIU-10052,Deepak Kamath,SBI-4039334792,Sachin Reddy,AXIS-5138077601,3278742.95,High-Risk Geography Outflow,2025-02-03 17:02:39
TXN-FIU-10053,Deepak Pawar,AXIS-4878918851,Farhan Naik,PNB-1831413674,2655362.62,Rapid Succession Transfers,2026-07-03 17:02:39
TXN-FIU-10054,Suresh Hegde,HDFC-1665602135,Farhan Pawar,SBI-4842184662,2484619.7,Round Trip Transactions,2026-07-14 17:02:39
TXN-FIU-10055,Salim Chavan,HDFC-1665602135,Kiran Patil,SBI-8924595680,343879.14,Structured Deposits <50k,2024-10-01 17:02:39
TXN-FIU-10056,Vijay Memon,SBI-7801787051,Salim Shetty,ICICI-4517045513,3438959.11,Round Trip Transactions,2025-07-12 17:02:39
TXN-FIU-10057,Mohammad Sawant,HDFC-8256999095,Rahul Kamath,ICICI-4578876947,3308413.92,Dormant Account Spike,2024-12-12 17:02:39
TXN-FIU-10058,Suresh Memon,SBI-4270108217,Ajay Rao,SBI-7801787051,520231.27,Structured Deposits <50k,2025-06-14 17:02:39
TXN-FIU-10059,Kiran Deshmukh,SBI-3827283732,Sunil Reddy,SBI-4842184662,2886104.5,Round Trip Transactions,2025-06-10 17:02:39
TXN-FIU-10060,Sanjay Khan,HDFC-9986910988,Kiran Shinde,AXIS-2849280305,2443008.71,High-Risk Geography Outflow,2025-09-29 17:02:39
TXN-FIU-10061,Nasir Deshmukh,SBI-2530322647,Pradeep Shetty,ICICI-8571385151,3351732.22,Normal Trade Settlement,2026-03-23 17:02:39
TXN-FIU-10062,Kishore Qureshi,PNB-1720603443,Irfan Memon,PNB-7105992088,822543.56,Dormant Account Spike,2025-03-07 17:02:39
TXN-FIU-10063,Manoj Kadam,PNB-2729223616,Sunil Jadhav,AXIS-6937449151,566961.94,Structured Deposits <50k,2026-05-16 17:02:39
TXN-FIU-10064,Rajesh Sayed,HDFC-2230404456,Arjun Ansari,HDFC-8256999095,480329.01,Normal Trade Settlement,2025-03-29 17:02:39
TXN-FIU-10065,Kishore Shinde,HDFC-8459734923,Prakash Qureshi,AXIS-4878918851,3425482.49,Round Trip Transactions,2025-12-06 17:02:39
TXN-FIU-10066,Sachin Ansari,ICICI-2983738352,Ramesh Qureshi,AXIS-2966343247,257505.33,High-Risk Geography Outflow,2026-03-19 17:02:39
TXN-FIU-10067,Rahul Kamath,HDFC-1665602135,Sunil Khan,PNB-7105992088,1255655.78,High-Risk Geography Outflow,2026-03-21 17:02:39
TXN-FIU-10068,Kiran Patil,PNB-5041977461,Ganesh Gowda,SBI-4270108217,2467921.17,Normal Trade Settlement,2026-03-06 17:02:39
TXN-FIU-10069,Sachin Chavan,HDFC-1665602135,Vijay Gowda,SBI-3468031896,1045538.53,Dormant Account Spike,2025-05-12 17:02:39
TXN-FIU-10070,Anil Shinde,HDFC-1665602135,Manoj Reddy,PNB-2593886870,1982708.23,High-Risk Geography Outflow,2024-12-17 17:02:39
TXN-FIU-10071,Ramesh Bhat,PNB-2729223616,Imran Naik,AXIS-4878918851,1449593.34,Round Trip Transactions,2026-06-18 17:02:39
TXN-FIU-10072,Vijay Hegde,PNB-5041977461,Salim Chavan,HDFC-8256999095,2519266.77,High-Risk Geography Outflow,2025-08-26 17:02:39
TXN-FIU-10073,Manoj Kadam,ICICI-7096528446,Ganesh Naik,SBI-5974215344,637973.73,Dormant Account Spike,2025-05-13 17:02:39
TXN-FIU-10074,Salim Deshmukh,SBI-9831272394,Mahesh Ansari,AXIS-4878918851,1356183.29,Round Trip Transactions,2025-01-28 17:02:39
TXN-FIU-10075,Santosh Rao,PNB-2593886870,Ajay Jadhav,SBI-9831272394,3014112.65,Normal Trade Settlement,2025-06-27 17:02:39
TXN-FIU-10076,Mahesh Hegde,AXIS-2849280305,Shakeel Chavan,PNB-2729223616,640312.69,High-Risk Geography Outflow,2025-08-20 17:02:39
TXN-FIU-10077,Vikram Pawar,PNB-7501469094,Rahul Memon,ICICI-7096528446,307909.78,Round Trip Transactions,2025-01-08 17:02:39
TXN-FIU-10078,Ganesh Hegde,AXIS-5343309815,Sachin Memon,ICICI-1236773228,1138432.94,Round Trip Transactions,2026-03-09 17:02:39
TXN-FIU-10079,Dinesh Naik,ICICI-4578876947,Ramesh Sawant,ICICI-5114292912,2637011.02,Round Trip Transactions,2026-03-08 17:02:39
TXN-FIU-10080,Prakash Bhat,AXIS-5343309815,Sachin Pathan,SBI-3468031896,2218243.9,Rapid Succession Transfers,2025-08-21 17:02:39
TXN-FIU-10081,Kishore Memon,ICICI-7836464312,Ramesh Ansari,PNB-7105992088,1421113.21,Dormant Account Spike,2025-08-25 17:02:39
TXN-FIU-10082,Dinesh Gowda,SBI-4842184662,Nasir Rao,SBI-3827143375,305197.35,High-Risk Geography Outflow,2025-08-07 17:02:39
TXN-FIU-10083,Ajay Bhat,PNB-1720603443,Mahesh Kamath,PNB-5041977461,1517114.28,Normal Trade Settlement,2025-08-26 17:02:39
TXN-FIU-10084,Kiran Gowda,PNB-9187843642,Kishore Siddiqui,SBI-7801787051,1307083.65,Round Trip Transactions,2026-03-08 17:02:39
TXN-FIU-10085,Mohammad Patil,SBI-2530322647,Suresh Reddy,ICICI-2983738352,1595698.75,Structured Deposits <50k,2026-01-10 17:02:39
TXN-FIU-10086,Ramesh Siddiqui,SBI-3827283732,Sanjay Chavan,ICICI-7096528446,1432163.62,Normal Trade Settlement,2024-10-07 17:02:39
TXN-FIU-10087,Suresh Shinde,AXIS-5343309815,Shakeel Jadhav,HDFC-8459734923,493630.88,Round Trip Transactions,2024-10-02 17:02:39
TXN-FIU-10088,Mohammad Reddy,HDFC-2230404456,Sachin Shaikh,SBI-4039334792,575454.61,High-Risk Geography Outflow,2024-12-07 17:02:39
TXN-FIU-10089,Sunil Pawar,AXIS-4878918851,Prakash Ansari,HDFC-8459734923,2010268.35,Structured Deposits <50k,2026-02-24 17:02:39
TXN-FIU-10090,Dinesh Shetty,ICICI-8571385151,Tariq Pathan,SBI-7801787051,1981193.01,Rapid Succession Transfers,2025-12-24 17:02:39
TXN-FIU-10091,Shakeel Naik,SBI-6645556937,Imran Reddy,ICICI-6529253100,1081304.42,Normal Trade Settlement,2025-02-09 17:02:39
TXN-FIU-10092,Deepak Pathan,SBI-7801787051,Ganesh Naik,AXIS-4878918851,250111.48,Rapid Succession Transfers,2025-03-16 17:02:39
TXN-FIU-10093,Ganesh Shetty,PNB-9365869572,Pradeep Shinde,SBI-3827283732,939294.42,Normal Trade Settlement,2025-04-23 17:02:39
TXN-FIU-10094,Pradeep Reddy,PNB-1720603443,Arjun Bhat,SBI-6645556937,230933.32,Dormant Account Spike,2025-10-06 17:02:39
TXN-FIU-10095,Dinesh Kamath,SBI-3468031896,Mohammad Kamath,HDFC-7132104683,2375186.13,Dormant Account Spike,2024-11-16 17:02:39
TXN-FIU-10096,Farhan Rao,ICICI-2983738352,Rahul Siddiqui,PNB-5041977461,2027069.42,Structured Deposits <50k,2025-07-18 17:02:39
TXN-FIU-10097,Farhan Khan,SBI-2530322647,Ramesh Bhat,HDFC-3598603170,616405.35,Round Trip Transactions,2025-08-05 17:02:39
TXN-FIU-10098,Mahesh Gowda,PNB-9365869572,Anil Rao,SBI-8563566710,3200011.47,Normal Trade Settlement,2026-05-04 17:02:39
TXN-FIU-10099,Deepak Shetty,ICICI-9110076374,Prakash Ansari,PNB-9187843642,1442774.81,Round Trip Transactions,2025-07-09 17:02:39
TXN-FIU-10100,Ajay Hegde,AXIS-4878918851,Farhan Pathan,PNB-9187843642,1214510.2,Normal Trade Settlement,2025-04-14 17:02:39
TXN-FIU-10101,Nasir Shinde,HDFC-7132104683,Sachin Deshmukh,PNB-9187843642,561244.8,Rapid Succession Transfers,2026-08-22 17:02:39
TXN-FIU-10102,Ajay Naik,ICICI-4517045513,Shakeel Reddy,AXIS-5343309815,1606416.11,Normal Trade Settlement,2025-08-19 17:02:39
TXN-FIU-10103,Shakeel Khan,HDFC-3598603170,Mohammad Deshmukh,AXIS-5343309815,726392.63,High-Risk Geography Outflow,2025-09-24 17:02:39
TXN-FIU-10104,Rajesh Shinde,HDFC-7132104683,Nasir Bhat,PNB-2593886870,3059103.8,Structured Deposits <50k,2025-05-12 17:02:39
TXN-FIU-10105,Rajesh Jadhav,ICICI-4578876947,Manoj Chavan,ICICI-9110076374,126963.35,Rapid Succession Transfers,2024-10-18 17:02:39
TXN-FIU-10106,Ramesh Kadam,ICICI-9155855108,Kiran Deshmukh,PNB-7105992088,2671952.45,Rapid Succession Transfers,2026-03-27 17:02:39
TXN-FIU-10107,Mahesh Deshmukh,PNB-4878646625,Tariq Deshmukh,ICICI-8486450422,1477209.22,Round Trip Transactions,2025-10-01 17:02:39
TXN-FIU-10108,Sunil Kamath,AXIS-2849280305,Rajesh Rao,AXIS-5138077601,206922.4,Structured Deposits <50k,2025-10-18 17:02:39
TXN-FIU-10109,Nasir Kadam,SBI-4039334792,Mohammad Chavan,AXIS-5138077601,1854781.02,Dormant Account Spike,2025-09-01 17:02:39
TXN-FIU-10110,Manoj Memon,ICICI-4517045513,Pradeep Rao,SBI-3827283732,3101255.51,Round Trip Transactions,2024-10-04 17:02:39
TXN-FIU-10111,Dinesh Memon,SBI-5974215344,Santosh Ansari,SBI-8563566710,1345181.92,Dormant Account Spike,2025-12-22 17:02:39
TXN-FIU-10112,Kishore Rao,PNB-1720603443,Mahesh Bhat,SBI-5974215344,1003716.31,Structured Deposits <50k,2026-02-08 17:02:39
TXN-FIU-10113,Amit Naik,AXIS-2849280305,Kishore Sawant,ICICI-8486450422,643062.84,Dormant Account Spike,2026-08-15 17:02:39
TXN-FIU-10114,Mahesh Siddiqui,HDFC-8459734923,Pradeep Sayed,ICICI-8571385151,1764181.87,Structured Deposits <50k,2025-10-06 17:02:39
TXN-FIU-10115,Santosh Chavan,PNB-7501469094,Anil Shaikh,SBI-3468031896,1096982.03,Round Trip Transactions,2025-01-20 17:02:39
TXN-FIU-10116,Shakeel Sayed,HDFC-1665602135,Rajesh Kadam,ICICI-2983738352,663447.92,High-Risk Geography Outflow,2026-07-07 17:02:39
TXN-FIU-10117,Irfan Qureshi,SBI-3468031896,Mahesh Khan,PNB-2729223616,137888.46,Rapid Succession Transfers,2026-06-05 17:02:39
TXN-FIU-10118,Pradeep Shaikh,ICICI-9110076374,Ramesh Ansari,ICICI-6529253100,290526.27,Structured Deposits <50k,2025-07-06 17:02:39
TXN-FIU-10119,Amit Pathan,SBI-5974215344,Salim Siddiqui,SBI-2530322647,425840.94,Structured Deposits <50k,2025-01-23 17:02:39
TXN-FIU-10120,Kishore Gowda,PNB-1720603443,Kiran Kadam,PNB-7501469094,2457224.23,Normal Trade Settlement,2026-03-11 17:02:39
TXN-FIU-10121,Irfan Reddy,ICICI-1236773228,Amit Pawar,HDFC-3598603170,475851.24,Structured Deposits <50k,2026-02-15 17:02:39
TXN-FIU-10122,Sachin Shetty,ICICI-6529253100,Ramesh Deshmukh,PNB-9187843642,1915136.91,Dormant Account Spike,2025-06-06 17:02:39
TXN-FIU-10123,Ajay Reddy,ICICI-1236773228,Ramesh Gowda,HDFC-1665602135,110993.31,Rapid Succession Transfers,2026-01-17 17:02:39
TXN-FIU-10124,Rahul Reddy,HDFC-3598603170,Vijay Shetty,ICICI-6529253100,370393.09,High-Risk Geography Outflow,2025-11-01 17:02:39
TXN-FIU-10125,Irfan Chavan,SBI-4270108217,Sunil Pawar,AXIS-2966343247,1494441.6,High-Risk Geography Outflow,2024-11-18 17:02:39
TXN-FIU-10126,Ganesh Bhat,SBI-3827143375,Manoj Qureshi,PNB-7105992088,3015415.85,High-Risk Geography Outflow,2025-04-22 17:02:39
TXN-FIU-10127,Imran Pawar,SBI-9831272394,Rajesh Deshmukh,AXIS-5138077601,2998596.17,High-Risk Geography Outflow,2024-12-15 17:02:39
TXN-FIU-10128,Deepak Patil,SBI-4270108217,Farhan Kadam,SBI-2530322647,1973384.32,Dormant Account Spike,2024-10-05 17:02:39
TXN-FIU-10129,Salim Deshmukh,SBI-7607066805,Mohammad Khan,SBI-3827143375,1527399.9,Dormant Account Spike,2026-03-15 17:02:39
TXN-FIU-10130,Rahul Kamath,PNB-1720603443,Shakeel Siddiqui,SBI-6645556937,1669017.56,Dormant Account Spike,2025-10-04 17:02:39
TXN-FIU-10131,Ramesh Siddiqui,PNB-1831413674,Sunil Patil,ICICI-2983738352,1936157.44,Normal Trade Settlement,2024-10-06 17:02:39
TXN-FIU-10132,Prakash Shaikh,SBI-8563566710,Kiran Hegde,ICICI-2983738352,3054743.31,Round Trip Transactions,2025-11-04 17:02:39
TXN-FIU-10133,Farhan Reddy,SBI-7607066805,Prakash Reddy,ICICI-5114292912,3378807.92,High-Risk Geography Outflow,2026-07-18 17:02:39
TXN-FIU-10134,Imran Pawar,ICICI-6529253100,Arjun Deshmukh,AXIS-6937449151,1461009.82,Normal Trade Settlement,2025-06-24 17:02:39
TXN-FIU-10135,Nasir Rao,AXIS-2966343247,Sunil Sawant,SBI-7801787051,896025.05,Structured Deposits <50k,2025-10-23 17:02:39
TXN-FIU-10136,Tariq Naik,SBI-4842184662,Ramesh Ansari,HDFC-2230404456,127208.7,Structured Deposits <50k,2026-07-28 17:02:39
TXN-FIU-10137,Ajay Naik,AXIS-5343309815,Farhan Khan,PNB-9187843642,878965.18,Round Trip Transactions,2025-11-01 17:02:39
TXN-FIU-10138,Pradeep Deshmukh,HDFC-2230404456,Suresh Siddiqui,PNB-2729223616,2654801.02,Dormant Account Spike,2026-08-01 17:02:39
TXN-FIU-10139,Imran Pawar,AXIS-2966343247,Mahesh Shaikh,SBI-9831272394,1123758.6,High-Risk Geography Outflow,2026-06-29 17:02:39
TXN-FIU-10140,Irfan Gowda,ICICI-9155855108,Kiran Khan,SBI-3827143375,3328160.65,Normal Trade Settlement,2026-07-29 17:02:39
TXN-FIU-10141,Sanjay Memon,PNB-7501469094,Mohammad Sawant,AXIS-2117018376,3341912.21,Dormant Account Spike,2025-06-29 17:02:39
TXN-FIU-10142,Amit Naik,PNB-7105992088,Anil Kamath,ICICI-8486450422,3351821.72,Dormant Account Spike,2026-06-20 17:02:39
TXN-FIU-10143,Shakeel Siddiqui,ICICI-7096528446,Suresh Kamath,PNB-2729223616,2164579.41,Structured Deposits <50k,2025-09-18 17:02:39
TXN-FIU-10144,Suresh Shinde,ICICI-7096528446,Mohammad Hegde,AXIS-2966343247,561999.26,High-Risk Geography Outflow,2025-08-18 17:02:39
TXN-FIU-10145,Sanjay Memon,ICICI-2983738352,Manoj Qureshi,ICICI-7096528446,3289559.59,Structured Deposits <50k,2025-05-04 17:02:39
TXN-FIU-10146,Nasir Chavan,AXIS-6937449151,Tariq Shaikh,AXIS-5343309815,1483775.09,Normal Trade Settlement,2025-09-05 17:02:39
TXN-FIU-10147,Pradeep Shetty,SBI-7607066805,Sanjay Shetty,AXIS-2117018376,2445543.74,Normal Trade Settlement,2024-10-17 17:02:39
TXN-FIU-10148,Pradeep Qureshi,ICICI-4517045513,Ajay Naik,ICICI-9110076374,1413619.21,Structured Deposits <50k,2024-12-09 17:02:39
TXN-FIU-10149,Sanjay Reddy,ICICI-9110076374,Vikram Sayed,SBI-8563566710,1145805.03,Dormant Account Spike,2025-06-17 17:02:39
TXN-FIU-10150,Irfan Shetty,AXIS-4878918851,Nasir Sayed,ICICI-9110076374,714124.64,High-Risk Geography Outflow,2026-05-27 17:02:39
TXN-FIU-10151,Shakeel Naik,AXIS-6937449151,Ganesh Chavan,PNB-9365869572,567792.33,Normal Trade Settlement,2025-07-03 17:02:39
TXN-FIU-10152,Vijay Kadam,SBI-3468031896,Rahul Shinde,SBI-7801787051,502664.86,Rapid Succession Transfers,2026-05-08 17:02:39
TXN-FIU-10153,Mohammad Jadhav,SBI-6645556937,Salim Ansari,ICICI-6529253100,2403728.84,High-Risk Geography Outflow,2025-08-08 17:02:39
TXN-FIU-10154,Manoj Bhat,SBI-7607066805,Salim Shaikh,ICICI-1236773228,974928.92,Round Trip Transactions,2025-11-11 17:02:39
TXN-FIU-10155,Ganesh Pathan,ICICI-1236773228,Irfan Khan,SBI-2530322647,2431761.14,Structured Deposits <50k,2026-08-29 17:02:39
TXN-FIU-10156,Irfan Qureshi,SBI-5974215344,Ganesh Memon,AXIS-2117018376,154104.24,Rapid Succession Transfers,2026-05-15 17:02:39
TXN-FIU-10157,Kiran Naik,ICICI-2983738352,Ajay Shinde,SBI-5974215344,717409.2,Rapid Succession Transfers,2025-07-19 17:02:39
TXN-FIU-10158,Prakash Shetty,SBI-9831272394,Vikram Qureshi,SBI-6645556937,2226977.05,High-Risk Geography Outflow,2025-04-01 17:02:39
TXN-FIU-10159,Ramesh Gowda,HDFC-8459734923,Vijay Khan,ICICI-6529253100,1321384.16,Round Trip Transactions,2024-11-23 17:02:39
TXN-FIU-10160,Tariq Deshmukh,ICICI-6529253100,Dinesh Chavan,HDFC-3598603170,2881633.25,High-Risk Geography Outflow,2025-12-09 17:02:39
TXN-FIU-10161,Imran Gowda,PNB-9187843642,Tariq Chavan,SBI-7607066805,1133957.27,Normal Trade Settlement,2025-08-02 17:02:39
TXN-FIU-10162,Amit Shetty,SBI-7801787051,Amit Khan,AXIS-5343309815,1539782.74,Normal Trade Settlement,2025-12-01 17:02:39
TXN-FIU-10163,Suresh Kamath,AXIS-2117018376,Suresh Reddy,SBI-4842184662,2081183.29,High-Risk Geography Outflow,2025-09-29 17:02:39
TXN-FIU-10164,Ramesh Sawant,PNB-9187843642,Sanjay Chavan,ICICI-2983738352,664236.21,Dormant Account Spike,2026-01-28 17:02:39
TXN-FIU-10165,Farhan Hegde,AXIS-5138077601,Irfan Kadam,ICICI-2983738352,2573392.63,Round Trip Transactions,2024-09-28 17:02:39
TXN-FIU-10166,Rahul Rao,SBI-4270108217,Ajay Shaikh,HDFC-1665602135,3205719.61,Round Trip Transactions,2024-10-01 17:02:39
TXN-FIU-10167,Imran Qureshi,ICICI-5114292912,Nasir Gowda,SBI-4270108217,3232570.8,Dormant Account Spike,2025-05-14 17:02:39
TXN-FIU-10168,Nasir Sawant,HDFC-7132104683,Arjun Shaikh,SBI-7607066805,2490179.38,Normal Trade Settlement,2025-01-01 17:02:39
TXN-FIU-10169,Sachin Qureshi,ICICI-4578876947,Kiran Deshmukh,PNB-9187843642,3462411.73,Rapid Succession Transfers,2026-01-07 17:02:39
TXN-FIU-10170,Tariq Patil,AXIS-2849280305,Vijay Shaikh,PNB-2593886870,1761472.59,Structured Deposits <50k,2026-01-19 17:02:39
TXN-FIU-10171,Rajesh Pawar,ICICI-9110076374,Rajesh Chavan,ICICI-1236773228,917122.23,Normal Trade Settlement,2025-07-17 17:02:39
TXN-FIU-10172,Vijay Rao,AXIS-2849280305,Vikram Naik,ICICI-4517045513,2259533.5,Round Trip Transactions,2025-08-14 17:02:39
TXN-FIU-10173,Ramesh Ansari,ICICI-4517045513,Farhan Deshmukh,SBI-3827283732,2468007.14,Structured Deposits <50k,2025-09-26 17:02:39
TXN-FIU-10174,Ganesh Sawant,SBI-4270108217,Prakash Shaikh,SBI-9831272394,910679.46,Round Trip Transactions,2025-10-24 17:02:39
TXN-FIU-10175,Irfan Jadhav,HDFC-7132104683,Suresh Naik,SBI-3468031896,353319.66,Rapid Succession Transfers,2025-06-18 17:02:39
TXN-FIU-10176,Vikram Qureshi,PNB-4878646625,Rajesh Chavan,ICICI-8571385151,2942290.49,High-Risk Geography Outflow,2025-04-29 17:02:39
TXN-FIU-10177,Farhan Pathan,SBI-6645556937,Rahul Deshmukh,HDFC-8459734923,3356973.34,Rapid Succession Transfers,2024-09-25 17:02:39
